orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
56,LIEBE,3,5/9/1996,6/11/1996,5/29/1996,3,81.5,NULL,"Mühleweg 7
98012 Saarlouis",aarlouis,4,"7
98012 S",Germany
57,BOLNB,3,5/12/1996,6/5/1996,5/25/1996,1,15.7,NULL,"Slobodan-Mühle-Allee 613
69369 Cloppenburg", Cloppenburg,1,"613
69369",Germany
58,RöHR,2,5/13/1996,7/14/1996,6/21/1996,2,31.7,NULL,"Dietzstraße 24
40598 Herzberg",Herzberg,4,"24
40598 ",Germany
59,FISCH,8,5/13/1996,8/10/1996,6/12/1996,3,8.7,NULL,"Boucseinring 423
31178 Kulmbach", Kulmbach,4,"423
31178",Germany
60,BöRN,6,5/13/1996,5/28/1996,5/13/1996,2,31.2,NULL,"Rittergasse 62
66128 Burgdorf",Burgdorf,2,"62
66128 ",Germany
61,JäNT,2,5/14/1996,6/12/1996,5/22/1996,1,17.5,NULL,"Heinstraße 2/0
46941 Worbis", Worbis,3,"2/0
46941",Germany
62,SAUER,6,5/16/1996,8/14/1996,6/30/1996,1,95.3,NULL,"Vogtring 7
37523 Rockenhausen",ockenhausen,3,"7
37523 R",Germany
63,EIGEN,6,5/17/1996,7/10/1996,5/18/1996,3,38.4,NULL,"Bolnbachstraße 465
77777 Ilmenau", Ilmenau,4,"465
77777",Germany
64,LADEC,5,5/17/1996,6/12/1996,5/21/1996,2,19.6,NULL,"Pamela-Stahr-Weg 43
96301 Merseburg",Merseburg,3,"43
96301 ",Germany
65,BäHR,3,5/19/1996,6/25/1996,5/28/1996,3,42.3,NULL,"Rittergasse 62
66128 Burgdorf",Burgdorf,2,"62
66128 ",Germany
66,HöFI,3,5/20/1996,8/17/1996,6/10/1996,1,98.2,NULL,"Birnbaumallee 99
75377 Uelzen",Uelzen,3,"99
75377 ",Germany
67,ROHT,2,5/21/1996,8/7/1996,7/3/1996,2,62.7,NULL,"Günter-Werner-Gasse 4/3
65722 Ebersberg", Ebersberg,2,"4/3
65722",Germany
68,FISCH,2,5/21/1996,7/26/1996,6/23/1996,1,33.4,NULL,"Ante-Rohleder-Gasse 74
69440 Soltau",Soltau,1,"74
69440 ",Germany
69,HEUSE,4,5/22/1996,8/20/1996,6/13/1996,3,94.9,NULL,"Enrico-Drewes-Allee 864
55722 Suhl", Suhl,3,"864
55722",Germany
70,JUNCK,9,5/22/1996,6/10/1996,5/25/1996,1,47.6,NULL,"Gerald-Langern-Allee 24
45998 Bad Kissingen",Bad Kissingen,1,"24
45998 ",Germany
71,LüBS,2,5/25/1996,8/12/1996,5/28/1996,3,16.6,NULL,"Jacobi Jäckelweg 78
83078 Freising"," 78
83078 Freising",4,Jäckelweg,Germany
72,HENTS,7,5/25/1996,7/23/1996,7/12/1996,2,48.8,NULL,"Reza-Neureuther-Straße 224
41022 Göttingen", Göttingen,2,"224
41022",Germany
73,FREUD,6,5/25/1996,8/31/1996,7/18/1996,2,25,NULL,"Dan-Weinhold-Straße 887
17347 Mellrichstadt", Mellrichstadt,4,"887
17347",Germany
74,ROSKO,4,5/27/1996,8/9/1996,6/25/1996,3,26.5,NULL,"Caterina-Mentzel-Straße 2
04206 Deggendorf",eggendorf,2,"2
04206 D",Germany
75,GOTTH,3,5/27/1996,8/8/1996,7/3/1996,3,24.7,NULL,"Zenta-Loos-Straße 23
28758 Reutlingen",Reutlingen,3,"23
28758 ",Germany
76,HENCK,5,5/29/1996,6/18/1996,5/30/1996,2,81.1,NULL,"Jürgen-Staude-Allee 1
85413 Cottbus",ottbus,4,"1
85413 C",Germany
77,HARLO,1,5/29/1996,8/5/1996,6/17/1996,2,32.2,NULL,"Hövelstraße 1
66200 Ludwigsburg",udwigsburg,1,"1
66200 L",Germany
78,ALBER,6,5/30/1996,9/6/1996,7/27/1996,2,46,NULL,"Jessica-Geisel-Ring 2
51517 Sankt Goarshausen",ankt Goarshausen,3,"2
51517 S",Germany
79,HEINR,3,5/31/1996,8/29/1996,5/31/1996,2,13.9,NULL,"Butteweg 6
48836 Bad Brückenau",ad Brückenau,3,"6
48836 B",Germany
80,SCHMI,9,5/31/1996,7/6/1996,6/7/1996,3,96,NULL,"Kochplatz 4/4
43815 Uelzen", Uelzen,4,"4/4
43815",Germany
81,ZAHN ,4,6/1/1996,8/24/1996,7/23/1996,3,50.1,NULL,"Esther-Döring-Platz 538
94965 Magdeburg", Magdeburg,3,"538
94965",Germany
82,LIEBE,7,6/1/1996,7/15/1996,6/30/1996,3,66.8,NULL,"Heinstraße 2/0
46941 Worbis", Worbis,2,"2/0
46941",Germany
83,HERIN,3,6/3/1996,9/5/1996,6/12/1996,3,77.4,NULL,"Kunigunde-Köhler-Weg 3/6
00456 Uffenheim", Uffenheim,2,"3/6
00456",Germany
84,KALLE,6,6/3/1996,7/29/1996,6/22/1996,3,31,NULL,"Heuserallee 8
48412 Main-Höchst)",ain-Höchst),3,"8
48412 M",Germany
85,BUTTE,1,6/3/1996,7/11/1996,6/3/1996,1,100,NULL,"Eimergasse 3
97795 Stuttgart",tuttgart,2,"3
97795 S",Germany
86,GERTZ,1,6/5/1996,9/4/1996,7/27/1996,3,32.1,NULL,"Miguel-Siering-Straße 564
86195 Bitterfeld", Bitterfeld,3,"564
86195",Germany
87,WEIME,6,6/5/1996,7/10/1996,6/26/1996,3,57.3,NULL,"Schulzstr. 348
59184 Schmölln", Schmölln,4,"348
59184",Germany
88,BOLNB,8,6/6/1996,9/12/1996,6/10/1996,1,86.8,NULL,"Paulo-Mühle-Ring 57
66088 Burgdorf",Burgdorf,2,"57
66088 ",Germany
89,HEINR,6,6/7/1996,7/13/1996,6/17/1996,3,68.2,NULL,"Drubinstraße 2/2
46795 Chemnitz", Chemnitz,4,"2/2
46795",Germany
90,EBERH,1,6/8/1996,7/4/1996,6/22/1996,3,88.2,NULL,"Rotraut-Bolander-Ring 6
20847 Badalzungen",adalzungen,2,"6
20847 B",Germany
91,SALZ ,5,6/8/1996,8/2/1996,7/10/1996,1,95.4,NULL,"Schulzstr. 348
59184 Schmölln", Schmölln,4,"348
59184",Germany
92,DRUBI,4,6/8/1996,6/25/1996,6/9/1996,1,5.5,NULL,"Knappestraße 344
14542 Lörrach", Lörrach,2,"344
14542",Germany
93,MUDE ,6,6/8/1996,7/18/1996,6/24/1996,2,30.4,NULL,"Misicherstraße 3
87450 Malchin",alchin,4,"3
87450 M",Germany
94,GERLA,4,6/8/1996,9/14/1996,8/28/1996,1,88.7,NULL,"Zänkergasse 66
74736 Sebnitz",Sebnitz,4,"66
74736 ",Germany
95,ZAHN ,3,6/8/1996,7/10/1996,6/21/1996,2,17.9,NULL,"Reisingallee 62
78550 Calau",Calau,3,"62
78550 ",Germany
96,SCHLE,8,6/9/1996,8/18/1996,6/16/1996,2,38.9,NULL,"Rotraut-Bolander-Ring 6
20847 Badalzungen",adalzungen,1,"6
20847 B",Germany
97,JäNT,7,6/10/1996,6/24/1996,6/11/1996,1,57.5,NULL,"Wagnerstr. 0/7
96937 Altentreptow", Altentreptow,4,"0/7
96937",Germany
98,FREUD,7,6/11/1996,6/30/1996,6/12/1996,1,37,NULL,"Meisterstr. 109
60837 Melle", Melle,1,"109
60837",Germany
99,JäNT,7,6/11/1996,7/21/1996,6/14/1996,1,39.9,NULL,"Enrico-Drewes-Allee 864
55722 Suhl", Suhl,3,"864
55722",Germany
100,WEITZ,7,6/12/1996,7/31/1996,7/4/1996,3,49.7,NULL,"Paulo-Mühle-Ring 57
66088 Burgdorf",Burgdorf,4,"57
66088 ",Germany
101,HENSC,1,6/13/1996,9/6/1996,7/9/1996,1,85.9,NULL,"Caterina-Mentzel-Straße 2
04206 Deggendorf",eggendorf,2,"2
04206 D",Germany
102,ROSEM,1,6/13/1996,8/25/1996,7/18/1996,2,84.1,NULL,"Felicitas-Kruschwitz-Allee 81
26215 Sigmaringen",Sigmaringen,4,"81
26215 ",Germany
103,KLAPP,4,6/13/1996,8/18/1996,7/22/1996,2,91.5,NULL,"Junkring 07
55687 Arnstadt",Arnstadt,4,"07
55687 ",Germany
104,SCHü,7,6/13/1996,7/17/1996,6/20/1996,3,88.7,NULL,"Junkring 07
55687 Arnstadt",Arnstadt,1,"07
55687 ",Germany
105,KITZM,3,6/14/1996,9/4/1996,6/15/1996,2,93.2,NULL,"Sabine-Thies-Weg 2/9
11589 Bamberg", Bamberg,2,"2/9
11589",Germany
106,LORCH,2,6/15/1996,7/4/1996,6/17/1996,2,24.5,NULL,"Artur-Riehl-Weg 5/6
94069 Ribnitz-Damgarten", Ribnitz-Damgarten,4,"5/6
94069",Germany
107,HAUFF,6,6/15/1996,9/5/1996,6/22/1996,1,95,NULL,"Milos-Linke-Platz 2/4
92841 Riesa", Riesa,1,"2/4
92841",Germany
108,WEIHM,2,6/16/1996,6/29/1996,6/17/1996,1,71.8,NULL,"Enrico-Drewes-Allee 864
55722 Suhl", Suhl,1,"864
55722",Germany
109,GORLI,1,6/17/1996,7/4/1996,6/18/1996,1,85.3,NULL,"Hendriksgasse 2/6
67266 Niesky", Niesky,2,"2/6
67266",Germany
110,EHLER,6,6/19/1996,9/26/1996,9/10/1996,1,41.2,NULL,"Francesco-Roskoth-Straße 1/7
72386 Quedlinburg", Quedlinburg,3,"1/7
72386",Germany
111,JäNT,7,6/20/1996,9/24/1996,6/24/1996,3,68.3,NULL,"Sylwia-Margraf-Straße 1/3
87860 Holzminden", Holzminden,3,"1/3
87860",Germany
112,SCHö,7,6/20/1996,8/7/1996,7/8/1996,1,97.3,NULL,"Heuserallee 8
48412 Main-Höchst)",ain-Höchst),2,"8
48412 M",Germany
113,BOLNB,8,6/21/1996,9/23/1996,8/15/1996,2,42.9,NULL,"Winklerring 4/5
87966 Artern", Artern,3,"4/5
87966",Germany
114,STRIE,6,6/22/1996,9/25/1996,8/28/1996,3,37.1,NULL,"Oestrovskyring 33
12688 Luckau",Luckau,2,"33
12688 ",Germany
115,FRANK,7,6/22/1996,7/7/1996,6/27/1996,2,34.9,NULL,"Drewesgasse 71
11958 Neuss",Neuss,2,"71
11958 ",Germany
116,KENSY,1,6/24/1996,8/14/1996,6/24/1996,1,16.1,NULL,"Schombergasse 6/0
60594 Kelheim", Kelheim,3,"6/0
60594",Germany
117,PäRT,1,6/25/1996,7/9/1996,6/27/1996,2,81.3,NULL,"Josephine-Hentschel-Ring 7/2
58548 Groß-Gerau", Groß-Gerau,3,"7/2
58548",Germany
118,HEINR,7,6/26/1996,9/19/1996,9/1/1996,1,1.3,NULL,"Heiko-Ladeck-Weg 9
50116 Altentreptow",ltentreptow,3,"9
50116 A",Germany
119,RöHR,7,6/26/1996,8/26/1996,7/26/1996,2,41.5,NULL,"Miguel-Siering-Straße 564
86195 Bitterfeld", Bitterfeld,4,"564
86195",Germany
120,GORLI,8,6/26/1996,7/26/1996,7/7/1996,1,40.1,NULL,"Horniggasse 7/5
99665 Fürstenwalde", Fürstenwalde,2,"7/5
99665",Germany
121,WARME,5,6/27/1996,7/9/1996,6/27/1996,2,91.4,NULL,"Hamannweg 0
48059 Sonneberg",onneberg,1,"0
48059 S",Germany
122,KöST,3,6/28/1996,8/22/1996,7/16/1996,2,66.6,NULL,"Corinne-Lachmann-Ring 341
45096 Fallingbostel", Fallingbostel,2,"341
45096",Germany
123,GERLA,1,6/28/1996,9/3/1996,8/22/1996,3,4.1,NULL,"Zobelgasse 1/4
10867 Regensburg", Regensburg,4,"1/4
10867",Germany
124,GORLI,9,6/28/1996,8/27/1996,7/5/1996,2,17.6,NULL,"Heinstraße 2/0
46941 Worbis", Worbis,1,"2/0
46941",Germany
125,ULLMA,1,6/30/1996,8/27/1996,7/1/1996,1,19.2,NULL,"Denise-Buchholz-Allee 289
00011 Sternberg", Sternberg,2,"289
00011",Germany
126,VOGT ,5,7/1/1996,9/3/1996,7/21/1996,2,83.4,NULL,"Jürgen-Staude-Allee 1
85413 Cottbus",ottbus,3,"1
85413 C",Germany
127,SPEER,4,7/1/1996,8/9/1996,7/22/1996,1,28.5,NULL,"Krokerplatz 545
83219 Schongau", Schongau,2,"545
83219",Germany
128,CASPA,4,7/1/1996,10/4/1996,7/20/1996,1,29.7,NULL,"Michaela-Schüler-Ring 83
89721 Kehl",Kehl,2,"83
89721 ",Germany
129,ROHT,9,7/2/1996,8/17/1996,7/5/1996,3,91.2,NULL,"Bohlanderplatz 0
59730 Fürstenfeldbruck",ürstenfeldbruck,2,"0
59730 F",Germany
130,HEINR,6,7/3/1996,10/3/1996,9/10/1996,3,55.4,NULL,"Enrico-Drewes-Allee 864
55722 Suhl", Suhl,2,"864
55722",Germany
131,HERTR,1,7/3/1996,8/13/1996,7/11/1996,1,95.2,NULL,"Udo-Eckbauer-Platz 885
14501 Fulda", Fulda,2,"885
14501",Germany
132,BAUER,1,7/3/1996,8/29/1996,8/7/1996,2,73.4,NULL,"Marika-Gierschner-Allee 5/5
46821 Ebern", Ebern,1,"5/5
46821",Germany
133,SCHLE,9,7/5/1996,9/3/1996,8/14/1996,1,80,NULL,"Aziz-Werner-Straße 717
55386 Tecklenburg", Tecklenburg,3,"717
55386",Germany
134,THANE,8,7/5/1996,8/11/1996,7/31/1996,3,58.7,NULL,"Sabine-Thies-Weg 2/9
11589 Bamberg", Bamberg,4,"2/9
11589",Germany
135,SCHOM,6,7/6/1996,7/28/1996,7/17/1996,1,10.2,NULL,"Drewesgasse 71
11958 Neuss",Neuss,4,"71
11958 ",Germany
136,DITSC,2,7/7/1996,8/31/1996,8/17/1996,3,78,NULL,"Barthweg 5
57957 Bersenbrück",ersenbrück,4,"5
57957 B",Germany
137,LANGE,5,7/7/1996,10/6/1996,7/31/1996,1,3.3,NULL,"Luciano-Ruppersberger-Allee 4/9
01718 Bad Kissingen", Bad Kissingen,4,"4/9
01718",Germany
138,HöFI,2,7/8/1996,9/29/1996,9/4/1996,1,46.9,NULL,"Nevenka-Schuchhardt-Gasse 9/3
45614 Calw", Calw,1,"9/3
45614",Germany
139,DIETZ,3,7/9/1996,10/9/1996,8/23/1996,2,7.1,NULL,"Jürgen-Staude-Allee 1
85413 Cottbus",ottbus,2,"1
85413 C",Germany
140,WULF ,5,7/10/1996,7/21/1996,7/10/1996,2,14.2,NULL,"Pamela-Stahr-Weg 43
96301 Merseburg",Merseburg,2,"43
96301 ",Germany
141,SCHWI,4,7/11/1996,8/21/1996,7/11/1996,2,14.9,NULL,"Irena-Ullrich-Gasse 0/8
66340 Wittstock", Wittstock,3,"0/8
66340",Germany
142,LOSEK,5,7/11/1996,8/22/1996,7/13/1996,2,9,NULL,"Hörlegasse 1
37491 Oberviechtach",berviechtach,2,"1
37491 O",Germany
143,ROGGE,1,7/12/1996,8/23/1996,7/31/1996,3,4.9,NULL,"Valerij-Heinrich-Platz 1
32225 Melsungen",elsungen,3,"1
32225 M",Germany
144,JäNT,7,7/14/1996,10/9/1996,9/18/1996,3,50.3,NULL,"Blümelgasse 9
50750 Roth",oth,3,"9
50750 R",Germany
145,HENSC,4,7/14/1996,8/3/1996,7/21/1996,2,7.7,NULL,"Hanife-Schuster-Allee 45
89867 Strausberg",Strausberg,2,"45
89867 ",Germany
146,WEIME,4,7/14/1996,8/5/1996,7/22/1996,3,88.1,NULL,"Lieselotte-Junitz-Weg 04
58381 Augsburg",Augsburg,2,"04
58381 ",Germany
147,SEIFE,3,7/15/1996,10/4/1996,8/7/1996,3,99.7,NULL,"Adrian-Hiller-Straße 4/0
25180 Kehl", Kehl,3,"4/0
25180",Germany
148,STRIE,1,7/15/1996,9/6/1996,8/18/1996,2,95.4,NULL,"Vogtring 7
37523 Rockenhausen",ockenhausen,2,"7
37523 R",Germany
149,MEIST,9,7/15/1996,10/10/1996,8/28/1996,1,54.4,NULL,"Justina-Dussen van-Weg 5
63701 Stendal","
63701 Stendal",2,"van-Weg 5",Germany
150,NERGE,4,7/16/1996,10/22/1996,8/4/1996,2,3.7,NULL,"Junkring 07
55687 Arnstadt",Arnstadt,2,"07
55687 ",Germany
151,HEIN ,6,7/16/1996,8/6/1996,7/19/1996,2,41.8,NULL,"Rotraut-Bolander-Ring 6
20847 Badalzungen",adalzungen,4,"6
20847 B",Germany
152,KITZM,9,7/17/1996,8/20/1996,7/21/1996,1,82.1,NULL,"Cemal-Scheuermann-Weg 5
66982 Dessau",essau,1,"5
66982 D",Germany
153,HENCK,8,7/17/1996,9/6/1996,8/20/1996,3,32.7,NULL,"Bohlanderallee 2/9
85077 Gunzenhausen", Gunzenhausen,2,"2/9
85077",Germany
154,BENDE,1,7/17/1996,7/30/1996,7/19/1996,1,80,NULL,"Mirella-Ring-Platz 78
51455 Greifswald",Greifswald,4,"78
51455 ",Germany
155,BAUER,7,7/18/1996,9/3/1996,7/26/1996,3,90.7,NULL,"Leonore-Zorbach-Allee 782
20026 Hamburg", Hamburg,4,"782
20026",Germany
156,GERLA,3,7/19/1996,9/21/1996,8/14/1996,1,99.5,NULL,"Hanife-Schuster-Allee 45
89867 Strausberg",Strausberg,4,"45
89867 ",Germany
157,JOPIC,1,7/19/1996,9/13/1996,7/28/1996,2,30.7,NULL,"Hanife-Schuster-Allee 45
89867 Strausberg",Strausberg,2,"45
89867 ",Germany
158,HOLST,8,7/20/1996,8/28/1996,8/11/1996,1,6.8,NULL,"Salzstraße 9
87357 Wurzen",urzen,2,"9
87357 W",Germany
159,SCHMI,3,7/21/1996,7/31/1996,7/21/1996,1,14.2,NULL,"Udo-Eckbauer-Platz 885
14501 Fulda", Fulda,1,"885
14501",Germany
160,ALBER,1,7/21/1996,9/20/1996,8/23/1996,1,83.8,NULL,"Butteweg 6
48836 Bad Brückenau",ad Brückenau,4,"6
48836 B",Germany
161,NIEME,1,7/22/1996,9/12/1996,8/17/1996,2,58.4,NULL,"Krokerplatz 545
83219 Schongau", Schongau,1,"545
83219",Germany
162,KöST,8,7/22/1996,9/26/1996,8/9/1996,3,36.4,NULL,"Müllerstraße 2/0
59379 Genthin", Genthin,3,"2/0
59379",Germany
163,KRAUS,6,7/22/1996,10/11/1996,8/31/1996,3,56,NULL,"Gretl-Pieper-Platz 726
07541 Fallingbostel", Fallingbostel,3,"726
07541",Germany
164,MANGO,2,7/23/1996,8/7/1996,7/24/1996,1,19.3,NULL,"Conradiring 5
63971 Schrobenhausen",chrobenhausen,4,"5
63971 S",Germany
